Symbol,Name
TLV:AFHL,AFCON HOLD
TLV:AFPR,AFI PROPERTIES
TLV:AFRE,AFRICA RESIDENC
TLV:ALGS,ALON GAS
TLV:ALHE,ALONY HETZ
TLV:ALMA,ALMOGIM
TLV:AMAN,AMANET
TLV:AMOT,AMOT
TLV:ARAD,ARAD INVESTMENT
TLV:ARGO,ARGO PROP.
TLV:ARPT,AIRPORT CITY
TLV:ASHG,ASHTROM GROUP
TLV:AURA,AURA
TLV:AVGD,AVGAD
TLV:AZRG,AZRIELI GROUP
TLV:AZRM,AZORIM
TLV:AZRT,REIT AZORIM LIV
TLV:BCNV,BRACK CAPIT N V
TLV:BCOM,B COMMUNICATION
TLV:BEZQ,BEZEQ
TLV:BIG,BIG
TLV:BLSR,BLUE SQ REAL ES
TLV:BULL,BULL TRADING
TLV:CDEV,COHEN DEV
TLV:CEL,CELLCOM
TLV:CMCT-P,CREATIV MEDIA P
TLV:CMCT,CREATIVE MEDIA
TLV:CMER,MER
TLV:CRSM,CARASSO MOTORS
TLV:DANE,DANEL
TLV:DELG,DELTA GALIL
TLV:DIFI,DIRECT FINANCE
TLV:DIMRI,DIMRI
TLV:DLEA,DELEK AUTOMOTIV
TLV:DLEKG,DELEK GROUP
TLV:DNYA,DANYA CEBUS
TLV:DSCT,DISCOUNT
TLV:ECP,ELECTRA CO  PR
TLV:ELCO,ELCO
TLV:ELCRE,ELECTRA REAL E.
TLV:ELMR,ELMOR
TLV:ELTR,ELECTRA
TLV:ENDY,ENDYMED
TLV:ENOG,ENERGEAN
TLV:EPIT,EPITOMEE MED
TLV:EQTL,EQUITAL
TLV:EXPO,EXPORT INV
TLV:FIBI,FIBI BANK
TLV:FIBIH,FIBI HOLDINGS
TLV:FOX,FOX
TLV:GCT,G CITY
TLV:GLPL,GOLAN PLASTIC
TLV:GOHO,GOLDEN HOUSE
TLV:GOLD,GOLD
TLV:GVYM,GAV YAM
TLV:HAMAT,HAMAT
TLV:HARL,HAREL
TLV:HGG,HAGAG
TLV:HMAM,HAMAMA
TLV:HNMR,HANAN MOR
TLV:HRON,HIRON
TLV:IBI,IBI INV HOUSE
TLV:ICL,ICL
TLV:ICON,ICON GROUP
TLV:IES,IES
TLV:ILCO,ISRAEL CORP
TLV:ILDC,LAND DEV
TLV:ILDR,ILD RENEWAL
TLV:ISCD,ISRACARD
TLV:ISCN,ISRAEL CANADA
TLV:ISHI,ISRAEL SHIPYARD
TLV:ISTA,ISSTA
TLV:JBNK,JERUSALEM
TLV:KARE,KARDAN REAL ES
TLV:KEN,KENON
TLV:LAHAV,LAHAV
TLV:LAPD,LAPIDOTH   CAP.
TLV:LEVI,LEVINSTEIN ENG
TLV:LODZ,LODZIA
TLV:LUMI,LEUMI
TLV:LUZN,LUZON GROUP
TLV:LVPR,LEVINSTEIN PROP
TLV:MCLL,MICHLOL FIN
TLV:MDPR,MEDIPOWER 0.1$
TLV:MGDA,MIGDALOR
TLV:MGDL,MIGDAL INSUR.
TLV:MGRT,MGURIT
TLV:MLRN,MLRN
TLV:MNRT,MENIVIM REIT
TLV:MSHR,MISHORIM
TLV:MVNE,MIVNE
TLV:MZTF,MIZRAHI TEFAHOT
TLV:NAWI,NAWI
TLV:NFTA,NAPHTHA
TLV:NSTR,NORSTAR
TLV:NTGR,NETANEL GROUP
TLV:NTML,NETO MALINDA
TLV:NTO,NETO
TLV:NURI,NUR
TLV:NVLG,NOVOLOG
TLV:NXTM,NEXTCOM
TLV:ORIN,ORIAN
TLV:ORL,BAZAN
TLV:POLI,POALIM
TLV:PRSK,PRASHKOVSKY
TLV:PTNR,PARTNER
TLV:PZOL,PAZ OIL
TLV:RANI,RANI ZIM
TLV:RAVD,RAVAD
TLV:RIMO,RIMONI
TLV:RIT1,REIT 1
TLV:RMLI,RAMI LEVI
TLV:RMN,RAM ON
TLV:RMON,RIMON
TLV:ROTS,ROTSHTEIN
TLV:RTSN,ROTEM SHANI
TLV:SANO1,SANO
TLV:SFRN,SUFRIN
TLV:SHVA,AUTO BANK SERV
TLV:SKBN,SHIKUN & BINUI
TLV:SMT,SUMMIT
TLV:SPEN,SHAPIR      ENG
TLV:SRFT,SARFATI
TLV:STRS,STRAUSS GROUP
TLV:TAYA,TAYA INV
TLV:TDRN,TADIRAN GROUP
TLV:TLSY,TELSYS
TLV:TMIS,THEMIS
TLV:TMRP,TAMAR PET
TLV:TURB,TURBOGEN
TLV:UTRN,UTRON
TLV:VILR,VILLAR
TLV:VISN,VISION SIGMA
TLV:ZMH,ZMH
TLV:ZUR,ZUR
