Symbol,Name,Sector,Value,Close,MA,Grade
TLV:LAHAV,LAHAV,Real Estate,-1.3647,338.7, ,100.1253
TLV:EXPO,EXPORT INV,Financial Services,-1.14615,3737.0, ,76.4479
TLV:AFPR,AFI PROPERTIES,Real Estate,-1.59783,10290.0, ,60.0452
TLV:PRSK,PRASHKOVSKY,Real Estate,-1.2194,8081.0, ,54.8608
TLV:SPRG,SPRING,Financial Services,-1.61265,1301.0, ,48.4953
TLV:KRDI,KARDEN ISRAEL,Real Estate,-1.10862,188.3, ,48.2657
TLV:ARAD,ARAD INVESTMENT,Industrials,-1.05428,39130.0, ,46.0669
TLV:SRFT,SARFATI,Real Estate,-1.30584,2715.0, ,45.9015
TLV:AZRM,AZORIM,Consumer Cyclical,-1.56707,993.2, ,45.833
TLV:PLRM,PALRAM,Industrials,-1.50442,2434.0, ,44.7089
TLV:VILR,VILLAR,Real Estate,-1.51566,14790.0, ,44.1482
TLV:ICL,ICL,Basic Materials,-1.72972,1912.0, ,41.741
TLV:EMDV,EMILIA DEVEL,Financial Services,-1.29831,2357.0, ,37.9334
TLV:CEL,CELLCOM,Communication Services,-1.38259,1394.0, ,33.4016
TLV:YHNF,YOCHANANOF,Consumer Defensive,-1.26395,16800.0, ,30.3509
TLV:BKFR,BAIT BAKFAR,Healthcare,-1.03119,998.5, ,29.0436
TLV:GOHO,GOLDEN HOUSE,Healthcare,-0.9971,1359.0, ,27.8988
TLV:FIBIH,FIBI HOLDINGS,Financial Services,-0.84936,14940.0, ,27.7865
TLV:BRIL,BRILL,Consumer Cyclical,-0.88781,1552.0, ,24.4994
TLV:LAPD,LAPIDOTH CAP.,Energy,-1.23126,5910.0, ,22.2759
TLV:DLEA,DELEK AUTOMOTIV,Consumer Cyclical,-1.19259,2900.0, ,21.2959
TLV:ASHG,ASHTROM GROUP,Real Estate,-0.89697,5051.0, ,20.7679
TLV:IBI,IBI INV HOUSE,Financial Services,-1.61089,9527.0,r+,20.0864
TLV:SNCM,SUNY COMMUN,Communication Services,-0.95906,141.5, ,19.1558
TLV:LVPR,LEVINSTEIN PROP,Real Estate,-1.30437,7362.0, ,17.9538
TLV:DLTI,DELTA BRANDS,Consumer Cyclical,-1.44496,3775.0, ,17.5355
TLV:MMAN,MAMAN,Industrials,-1.03894,1070.0, ,16.8915
TLV:ROTS,ROTSHTEIN,Real Estate,-1.31001,2827.0, ,16.7094
TLV:GIBUI,GIBUI HOLDINGS LTD,Financial Services,-0.88384,76.3, ,16.236
TLV:ELMR,ELMOR,Industrials,-1.39827,1050.0, ,15.8795
TLV:SHNP,SCHNAPP,Consumer Cyclical,-1.08978,1052.0, ,15.8445
TLV:AUDC,AUDIOCODES,Technology,-1.09536,3308.0, ,15.7131
TLV:KARE,KARDAN REAL ES,Real Estate,-0.99895,390.8,r+,15.6912
TLV:MTRX,MATRIX,Technology,-1.12836,7185.0, ,15.5969
TLV:ELRN,ELRON,Financial Services,-1.62077,455.7, ,15.0442
TLV:GVYM,GAV YAM,Real Estate,-1.09537,2607.0, ,15.0396
TLV:FRDN,FRIDENSON,Industrials,-1.42788,5808.0, ,15.0114
TLV:LEVI,LEVINSTEIN ENG,Industrials,-1.161,27890.0, ,14.5717
TLV:ACRO,ACRO KVUT,Real Estate,-0.97566,2853.0, ,14.5653
TLV:AYAL,AYALON HOLD.,Financial Services,-1.12847,1538.0, ,14.3345
TLV:RLCO,RALCO,Consumer Cyclical,-1.44631,3660.0, ,13.9224
TLV:ISRS,ISRAS,Real Estate,-1.00807,67280.0, ,13.8378
TLV:PHOE,PHOENIX,Financial Services,-0.78115,3770.0, ,13.647
TLV:CRSM,CARASSO MOTORS,Consumer Cyclical,-0.99517,1672.0, ,13.4733
TLV:SANO1,SANO,Consumer Defensive,-1.53497,22430.0, ,12.7795
TLV:ORL,BAZAN,Energy,-1.38928,101.4, ,12.7778
TLV:BKRY,BIKUREY HASHDE,Consumer Defensive,-1.26789,189.9, ,12.3663
TLV:BIG,BIG,Real Estate,-0.83816,31780.0, ,12.298
TLV:ZNKL,ZANLAKOL,Consumer Defensive,-1.53597,1792.0, ,12.0824
TLV:MGIC,MAGIC,Technology,-1.02313,4380.0, ,11.8942
TLV:HLAN,HILAN,Technology,-1.29359,16930.0, ,11.8415
TLV:SNEL,SYNEL,Real Estate,-1.77318,1011.0, ,11.6478
TLV:ONE,ONE TECHNOLOGI,Technology,-1.9109,4560.0, ,11.5378
TLV:SMT,SUMMIT,Real Estate,-0.99755,4590.0, ,11.5371
TLV:PPIL,PLASTOFIL,Consumer Cyclical,-0.90962,517.2, ,11.504
TLV:SRAC,S.R ACCORD,Financial Services,-0.87553,3600.0, ,10.5664
TLV:MLRN,MLRN,Financial Services,-1.4777,635.6, ,10.5182
TLV:DIFI,DIRECT FINANCE,Financial Services,-0.80251,46330.0, ,10.2074
TLV:LUDN,LUDAN,Industrials,-1.30219,1326.0, ,10.1922
TLV:POLI,POALIM,Financial Services,-0.5486,3024.0, ,9.9654
TLV:MSHR,MISHORIM,Real Estate,-0.7923,622.0, ,9.9413
TLV:KRUR,KERUR,Consumer Defensive,-1.49117,8121.0, ,9.7634
TLV:MNIF,MENIF,Financial Services,-1.3386,914.8, ,9.7059
TLV:ARAN,ARAN,Industrials,-1.49777,1994.0, ,9.3804
TLV:WILC,WILLI FOOD INTE,Consumer Defensive,-0.67047,4650.0, ,9.0923
