pb,pi,ev,pe,evr / pm,0.01788,2.04441,4.91205,12.73229,29.12343,65.14346,375.91882
10000.000000,0.000012,0.000000,100000.000000,4263.866142,297.000000,254.000000,213.000000,171.000000,128.000000,86.000000,43.000000
10000.000000,0.000012,0.000000,100000.000000,3.755354,247.000000,206.000000,165.000000,127.000000,90.000000,56.000000,24.000000
10000.000000,0.000012,0.000000,100000.000000,1.925670,198.000000,160.000000,123.000000,90.000000,61.000000,37.000000,17.000000
10000.000000,0.000012,0.000000,100000.000000,1.038146,149.000000,117.000000,84.000000,59.000000,40.000000,27.000000,14.000000
10000.000000,0.000012,0.000000,100000.000000,0.454420,100.000000,78.000000,52.000000,37.000000,24.000000,14.000000,7.000000
10000.000000,0.000012,0.000000,100000.000000,0.255457,51.000000,35.000000,22.000000,17.000000,13.000000,7.000000,0.000000
10000.000000,0.000012,0.000000,0.240643,4263.866142,238.000000,213.000000,182.000000,147.000000,109.000000,74.000000,35.000000
10000.000000,0.000012,0.000000,0.240643,3.755354,200.000000,175.000000,144.000000,111.000000,77.000000,49.000000,19.000000
10000.000000,0.000012,0.000000,0.240643,1.925670,158.000000,136.000000,106.000000,77.000000,50.000000,32.000000,13.000000
10000.000000,0.000012,0.000000,0.240643,1.038146,120.000000,101.000000,73.000000,52.000000,33.000000,24.000000,12.000000
10000.000000,0.000012,0.000000,0.240643,0.454420,79.000000,66.000000,45.000000,31.000000,18.000000,12.000000,0.000000
10000.000000,0.000012,0.000000,0.240643,0.255457,40.000000,31.000000,19.000000,15.000000,11.000000,0.000000,0.000000
10000.000000,0.000012,0.000000,0.124146,4263.866142,179.000000,164.000000,144.000000,121.000000,91.000000,63.000000,30.000000
10000.000000,0.000012,0.000000,0.124146,3.755354,145.000000,130.000000,110.000000,89.000000,63.000000,40.000000,14.000000
10000.000000,0.000012,0.000000,0.124146,1.925670,111.000000,97.000000,77.000000,60.000000,39.000000,25.000000,8.000000
10000.000000,0.000012,0.000000,0.124146,1.038146,83.000000,71.000000,51.000000,37.000000,24.000000,18.000000,7.000000
10000.000000,0.000012,0.000000,0.124146,0.454420,53.000000,44.000000,29.000000,20.000000,12.000000,8.000000,0.000000
10000.000000,0.000012,0.000000,0.124146,0.255457,24.000000,17.000000,10.000000,9.000000,7.000000,0.000000,0.000000
10000.000000,0.000012,0.000000,0.074956,4263.866142,119.000000,114.000000,99.000000,86.000000,66.000000,48.000000,22.000000
10000.000000,0.000012,0.000000,0.074956,3.755354,96.000000,91.000000,76.000000,64.000000,48.000000,32.000000,11.000000
10000.000000,0.000012,0.000000,0.074956,1.925670,72.000000,67.000000,52.000000,44.000000,33.000000,22.000000,7.000000
10000.000000,0.000012,0.000000,0.074956,1.038146,51.000000,46.000000,31.000000,26.000000,19.000000,15.000000,0.000000
10000.000000,0.000012,0.000000,0.074956,0.454420,32.000000,28.000000,16.000000,12.000000,8.000000,0.000000,0.000000
